InputSize,Shell,Pratt,Knuth
10000,28345803,22618603,514420
20000,50859958,44992873,1038397
30000,73281891,67533901,1600667
40000,95802811,90062888,2153750
50000,118413222,112546820,2717757
60000,140832115,134994632,3281267
70000,163282162,157402788,3847321
80000,185811646,179935313,4359321
90000,208214961,202380395,4881685
100000,230588797,224825849,5447119
110000,253033693,247428999,5991328
120000,275424781,269952836,6513444
130000,298011671,292422804,7046917
140000,320487535,315225417,7559847
150000,342946830,337808025,8082212
160000,365448945,360610824,8608423
170000,387902467,383205286,9162004
180000,410314719,405690148,9727190
190000,432856119,428185810,10293368
200000,455297229,451176466,10857313
210000,477788174,473739711,11422809
220000,500179511,496316857,11975831
230000,522597534,518973876,12541575
240000,544987568,541921773,13107630
250000,567369721,564452995,13668161
260000,589852908,586936616,14234092
270000,612167352,609404040,14789844
280000,634754304,631999432,15322697
290000,657311468,654735764,15877084
300000,679814887,677236266,16423155
