InputSize,AverageSortTime,
10000,514420,
20000,1038397,
30000,1600667,
40000,2153750,
50000,2717757,
60000,3281267,
70000,3847321,
80000,4359321,
90000,4881685,
100000,5447119,
110000,5991328,
120000,6513444,
130000,7046917,
140000,7559847,
150000,8082212,
160000,8608423,
170000,9162004,
180000,9727190,
190000,10293368,
200000,10857313,
210000,11422809,
220000,11975831,
230000,12541575,
240000,13107630,
250000,13668161,
260000,14234092,
270000,14789844,
280000,15322697,
290000,15877084,
300000,16423155,
