InputSize,Merge,MergeHybrid(Thres = 64)
50000,26715782,231336065
100000,114533209,387519550
150000,303899278,576515476
200000,634669371,743964404
250000,775269132,901278848
300000,1066192646,1071818521
350000,1196162296,1247004606
400000,1429182361,1402373324
450000,1614863148,1553923644
500000,1805063209,1720315675
550000,2002385641,1869140750
600000,-2079991437,2015217932
650000,-1888989306,2144813494
700000,-1688913106,-1974728876
750000,-1525446997,-1773268652
800000,-1381378957,-1518869544
850000,-1219187173,-1255001397
900000,-1087921703,-943810028
950000,-957994367,-596120181
1000000,-780142829,-259617111
